State,state_abbr,ASER_2012,ASER_2014,ASER_2016,ASER_2018,NAS ,aser_rank,nas_rank
Andhra Pradesh,AP,28,21.3,19,22.6,78.6,14,1
Arunachal Pradesh,AR,15.5,5.8,2.3,4.8,50.5,27,28
Assam,AS,10.4,10.7,12.8,14.4,71.6,17,6
Bihar,BR,14.2,15.6,13.9,12.3,66.5,19,17
Chhattisgarh,CG,15.7,15.4,22.2,25,63,11,20
Gujarat,GJ,19.5,17.6,21.6,32.3,71.1,8,9
Haryana,HR,14.7,21.7,25.1,33.5,62.4,7,21
Himachal Pradesh,HP,32.8,43.6,45,47.4,66.8,1,16
Jammu and Kashmir,JK,10.9,10,NA,5.4,63.6,26,19
Jharkhand,JH,10,8.7,10.7,11,69.5,22,11
Karnataka,KA,21.2,16.4,19,19.4,77.7,16,2
Kerala,KL,38.1,36.6,38,43.8,71.4,3,7
Madhya Pradesh,MP,7,8.1,10.3,10.4,68.6,23,13
Maharashtra,MH,34.9,33.1,41.1,44.2,71.1,2,8
Manipur,MN,21.1,17.3,21.9,24.5,70.7,13,10
Meghalaya,ML,23.9,23.2,16.9,19.6,59.2,15,26
Mizoram,MZ,19.2,14.8,7.2,25.2,67.8,10,14
Nagaland,NL,12.8,4.6,7.9,7.4,69.1,25,12
Odisha,OR,24.7,28.9,31.5,35,62.1,6,22
Punjab,PB,33.5,24.1,30.6,36.4,60.1,5,25
Rajasthan,RJ,7.1,10.7,15.1,10.3,76.2,24,3
Sikkim,SK,NA,NA,NA,NA,61.5,NA,24
Tamil Nadu,TN,8.5,16.8,20.2,11.6,61.7,21,23
Telangana,TG,18.2,12.2,14.9,12.6,67.6,18,15
Tripura,TR,15.7,25.6,27.3,25.3,65.9,9,18
Uttar Pradesh,UK,6.5,6,7.2,12.3,56,20,27
Uttarakhand,UP,20.7,23.3,25.3,24.7,72.5,12,5
West Bengal,WB,26.1,32.9,34,36.6,74.3,4,4
